" ""WILLIAM EDWARD WADSWORTH YERBY""",
" ""SARAH COBB JOHNSON COCKE""",
" ""LEMUEL ORAH DAWSON""",
" ""CHILES CLIFTON FERRELL""",
" ""JOHN MATTHEWS MANLY""",
" ""WOOLSEY FINNELL""",
" ""ELLA LOWERY MOSELEY""",
" ""WILLIAM J. BOLES""",
" ""IDA WALLIS ELLIOTT""",
" ""JAMES WALTER ELLIOTT""",
" ""FRANCES NIMMO GREENE""",
" ""LAWRENCE HAYWOOD LEE""",
" ""WILLIAM MADISON VINES""",
" ""WILLIAM GARROTT BROWN""",https://en.wikipedia.org/wiki/William_Garrott_Brown
" ""WILLIAM HARLOW CATHER""",
" ""RICHARD HENRY CROSSFIELD""",
" ""JOHN FREDERICK DUGGAR""",
" ""ALGERNON LUNDY SMITH""",
" ""LUTHER ALLEN CONNELL""",
" ""HENRY DAMON DAVIDSON""",
" ""WILLIAM JAMES EDWARDS""",
" ""MARION TOULMIN GAINES""",
" ""GEORGE HUDDLESTON""",https://en.wikipedia.org/wiki/George_Huddleston
" ""WILLIAM HARDWICK RUTH""",
" ""ROBERT ENOC TYLER""",
" ""CHARLES BRAY WILLIAMS""",
" ""ANNE MATHILDE BILBRO""",
" ""JAMES STANISLAUS EASBY-SMITH""",
" ""SEALE HARRIS""",https://en.wikipedia.org/wiki/Seale_Harris
" ""RICHMOND PEARSON HOBSON""",https://en.wikipedia.org/wiki/Richmond_P._Hobson
" ""THOMAS KEENER ROBERTS""",
" ""MILDRED REYNOLDS SAFFOLD""",
" ""HORACE CALLAWAY CARLISLE""",
" ""WILL IRVIN MARTIN""",
" ""BENJAMIN MINGE DUGGAR""",https://en.wikipedia.org/wiki/Benjamin_Minge_Duggar
" ""RIXFORD JOSEPH LINCOLN""",
" ""GUSTAVE FREDERICK MERTINS""",
" ""ADELE KAHN WEIL""",
" ""KATHARINE HOPKINS CHAPMAN""",
" ""JAMES EDWIN COYLE""",
" ""LEE DeFOREST""",https://en.wikipedia.org/wiki/Lee_de_Forest
" ""WILLIAM HENRY FRAZER""",
" ""WILLIAM CHRISTOPHER HANDY""",https://en.wikipedia.org/wiki/W._C._Handy
" ""MAY HARRIS""",
" ""HARDEE JOHNSTON""",
" ""JOHN ROBERT KENNAMER SR.""",
" ""MITTIE ROSE OWEN McDAVID""",
" ""LEONIDAS WARREN PAYNE JR.""",
" ""DAISY WOODRUFF ROWLEY""",
" ""MAY RANDLETTE BECK""",
" ""WALTER LYNWOOD FLEMING""",https://en.wikipedia.org/wiki/Walter_Lynwood_Fleming
" ""WILLIAM HENRY HOLTZCLAW""",https://en.wikipedia.org/wiki/William_Henry_Holtzclaw
" ""GEORGE PULLEN JACKSON""",https://en.wikipedia.org/wiki/George_Pullen_Jackson
" ""HEWITT JOHNSTON""",
" ""THOMAS G. JONES""",https://en.wikipedia.org/wiki/Thomas_G._Jones
" ""MAUDE McKNIGHT LINDSAY""",
" ""MILDRED BREWER RUSSELL""",
" ""HARRY EDGAR WHEELER""",
" ""JAMES OSCAR COLLEY""",
" ""LUTHER NOBLE DUNCAN""",https://en.wikipedia.org/wiki/Luther_Noble_Duncan
" ""CAROLINE GAILLARD HURTEL""",
" ""ETHEL MARIE ARMES""",
" ""ANNIE ROWAN FORNEY DAUGETTE""",
" ""JOHN CHARLES DAWSON""",
" ""ROSS BLACKMON""",
" ""EDGAR CAYCE""",https://en.wikipedia.org/wiki/Edgar_Cayce
" ""JAMES McDONALD COMER""",
" ""JAMES SOMERVILLE McLESTER""",
" ""ELIZABETH CLEVELAND MORRISS""",
" ""EDITH BRITTAIN CRENSHAW TATUM""",
" ""WILLIAM HENRY AMERINE""",
" ""VIRGINIA BULLOCK-WILLIS""",
" ""PAULINE SMITH CRENSHAW""",
" ""HENRY MORRIS EDMONDS""",
" ""CHRISTINE WILLIAMS EDWARDS""",
" ""LEON CLARENCE McCORD""",
" ""FLORENCE HOBSON MORRISON""",
" ""ALFRED GEIGER MOSES""",
" ""MONTROSE JONAS MOSES""",
" ""EMMA LANGDON ROCHE""",
" ""ANNIE LOUISE WATERMAN""",
" ""ALFRED BATTLE BEALLE""",
" ""MALCOLM ALFRED BEESON""",
" ""MALCOLM CLAYTON BURKE JR. """,
" ""FRANCIS XAVIER BUSCH""",
" ""WADDILL CATCHINGS""",
" ""CHARLES WALLACE COLLINS""",
" ""MARY CHILTON CHASE CORNELIUS""",
" ""GRACE ELVINA TRILLIA HINDS CURZON""","https://en.wikipedia.org/wiki/Grace_Curzon,_Marchioness_Curzon_of_Kedleston"
" ""WAIGHTS GIBBS HENRY""",
" ""ROSA BELLE KNOX""",
" ""KATHLEEN MOORE MALLORY""",
" ""ROBERT DAVIS SPRATT""",
" ""JOHN BENNETT BODDIE JR.""",
" ""JOSEPH SAMUEL GANEY""",
" ""HELEN ADAMS KELLER""",https://en.wikipedia.org/wiki/Helen_Keller
" ""ANNE KENDRICK WALKER""",
" ""WILLIAM PUGH WILKES""",
" ""BUCKNER BEASLEY""",
" ""WILLIAM TEMPLE HATCHETT CHANDLER""",
" ""ROSE MAYER FIES""",
" ""MITCHELL BENNETT GARRETT""",
" ""NINA LEFTWICH""",
" ""ROBERT IRVING LITTLE""",
" ""STEWART JOSEPH LLOYD""",
" ""THOMAS WESLEY MARTIN""",
" ""BESSIE ATKINS BROOKS""",
" ""HARWELL GOODWIN DAVIS""",https://en.wikipedia.org/wiki/Harwell_Goodwin_Davis
" ""MILTON HENRY FIES""",
" ""JAMES WILLIAMS MARSHALL""",https://en.wikipedia.org/wiki/James_W._Marshall
" ""ELIZABETH HUMES CHAPMAN""",
" ""ELLA BOOKER COOK""",
" ""ETHEL HOWARD CRUMPTON""",
" ""JOHN McDUFFIE""",https://en.wikipedia.org/wiki/John_McDuffie
" ""FRANK STOLLENWERCK JR.""",
" ""JOHN BUNYAN CLARK""",
" ""WILLIAM W. CLEERE""",
" ""SCOTTIE McKENZIE FRASIER""",https://en.wikipedia.org/wiki/Scottie_McKenzie_Frasier
" ""JOHN FRANK GLAZNER""",
" ""GROVER CLEVELAND HALL""",https://en.wikipedia.org/wiki/Grover_C._Hall
" ""SHEILA HIBBEN""",https://en.wikipedia.org/wiki/Sheila_Hibben
" ""THOMAS EDWARD HUEY""",
" ""EDITH GRACE JEMISON""",
" ""MOLLIE HOLLIFIELD JONES""",
" ""HARVEY BROWN SEARCY""",
" ""FANNY LOCKETT MARKS SEIBELS""",
" ""MARY ELLA POLLARD TYNES""",
" ""LORENZO FERGUSON WOODRUFF""",https://en.wikipedia.org/wiki/Fuzzy_Woodruff
" ""HARRY MELL AYERS""",
" ""MARY TARVER CARROLL""",
" ""JOHN VERNON DENSON""",
" ""JOHN WILLIAM FRAZER""",https://en.wikipedia.org/wiki/John_W._Frazer
" ""WILLIAM SWEARINGEN MUDD""",
" ""WILLIAM PAUL PIM""",
" ""HUGO LAFAYETTE BLACK""",https://en.wikipedia.org/wiki/Hugo_Black
" ""ELMER TALMAGE CLARK""",https://en.wikipedia.org/wiki/Elmer_Talmage_Clark
" ""CHARLES N. FEIDELSON""",
" ""ARTHUR LOEB MAYER""",https://en.wikipedia.org/wiki/Arthur_Mayer
" ""EVA CLYDE STOVALL SCOTT""",
" ""LILY ROSS TAYLOR""",https://en.wikipedia.org/wiki/Lily_Ross_Taylor
" ""IRWIN St JOHN TUCKER""",
" ""ANDREW RICHARD BLISS JR. """,
" ""JEREMIAH M. BURNS""",
" ""LEWY DORMAN""",
" ""MELL ALEXANDER FRAZER""",
" ""ALBERT BURTON MOORE""",
" ""MABEL CLARE RANDALL THOMAS""",
" ""SAMUEL B. COLES""",
" ""EDWARD TARLETON COLLIER""",
" ""MARIE ALDRICH CRAVNER""",
" ""MORRIS LEOPOLD ERNST""",https://en.wikipedia.org/wiki/Morris_Ernst
" ""DANA KING GATCHELL""",
" ""WALTER BURGWYN JONES""",
" ""HARRY HARRISON KROLL""",https://en.wikipedia.org/wiki/Harry_Harrison_Kroll
" ""SIDNEY P. LAZARUS""",
